 A	EY
 LIVID	L IH V IH D
 LIVING	L IH V IH NG
 LOADED	L OW D AH D
 LOADING	L OW D IH NG
 LOAF	L OW F
 LOAFER	L OW F ER
 LOAFERS	L OW F ER Z
 LOANS	L OW N Z
 LOATHING	L OW TH IH NG
 LOATHSOME	L OW DH S AH M
 LOCAL	L OW K AH L
 LOCK	L AA K
 LOCKED	L AA K T
 LOCKET	L AA K IH T
 LOCKS	L AA K S
 LOCUS	L OW K AH S
 LODGE	L AA JH
 LODGER	L AA JH ER
 LODGING	L AA JH IH NG
 LODGINGS	L AA JH IH NG Z
 LOGIC	L AA JH IH K
 LOGICAL	L AA JH IH K AH L
 LOGICIAN	L OW JH IH SH AH N
 LOITER	L OY T ER
 LOITERING	L OY T ER IH NG
 LONDON	L AH N D AH N
 LONDONERS	L AH N D AH N ER Z
 LONDONWARD	L AA N D AA N W AH R D
 LONDONWARDS	L AA N D AA N W AH R D Z
 LONE	L OW N
 LONELIER	L OW N L IY ER
 LONELY	L OW N L IY
 LONG	L AO NG
 LONGED	L AO NG D
 LONGER	L AO NG G ER
 LONGING	L AO NG IH NG
 LOOK	L UH K
 LOOKED	L UH K T
 LOOKING	L UH K IH NG
 LOOKOUT	L UH K AW T
 LOOKS	L UH K S
 LOOMED	L UW M D
 LOOMING	L UW M IH NG
 LOOP	L UW P
 LOOPHOLE	L UW P HH OW L
 LOOSE	L UW S
 LOOSED	L UW S T
 LOOSELY	L UW S L IY
 LOOSENED	L UW S AH N D
 LORD	L AO R D
 LORDED	L AO R D IH D
 LORDLY	L AO R D L IY
 LORDS	L AO R D Z
 LORDSHIP	L AO R D SH IH P
 LOSE	L UW Z
 LOSING	L UW Z IH NG
 LOSS	L AO S
 LOSSES	L AO S AH Z
 LOST	L AO S T
 LOT	L AA T
 LOUD	L AW D
 LOUDER	L AW D ER
 LOUDLY	L AW D L IY
 LOUISIANA	L UW IY Z IY AE N AH
 LOUNGED	L AW N JH D
 LOUNGING	L AW N JH IH NG
 LOVE	L AH V
 LOVED	L AH V D
 LOVELY	L AH V L IY
 LOVER	L AH V ER
 LOVERS	L AH V ER Z
 LOVES	L AH V Z
 LOVING	L AH V IH NG
 LOW	L OW
 LOWER	L OW ER
 LOWERED	L OW ER D
 LOWERING	L OW ER IH NG
 LOWEST	L OW AH S T
 LOWING	L OW IH NG
 LOWLIEST	L OW L IY AH S T
 LOWLY	L OW L IY
 LUCID	L UW S IH D
 LUCK	L AH K
 LUCKILY	L AH K AH L IY
 LUCKY	L AH K IY
 LUCRATIVE	L UW K R AH T IH V
 LUCY	L UW S IY
 LUGGED	L AH G D
 LUGGING	L AH G IH NG
 LUMBER	L AH M B ER
 LUMINIUM	L UW M IH N IY AH M
 LUMINOUS	L UW M AH N AH S
 LUMPS	L AH M P S
 LUNATIC	L UW N AH T IH K
 LUNCH	L AH N CH
 LUNCHEON	L AH N CH AH N
 LUNG	L AH NG
 LUNGS	L AH NG Z
 LURCHED	L ER CH T
 LURE	L UH R
 LURED	L UH R D
 LURID	L UH R AH D
 LURKING	L ER K IH NG
 LUSH	L AH SH
 LUST	L AH S T
 LUSTRE	L AH S T ER
 LUSTROUS	L AH S T R AH S
 LUXURIANT	L AH G ZH ER IY AH N T
 LUXURIES	L AH G ZH ER IY Z
 LUXURIOUS	L AH G ZH ER IY AH S
 LYING	L AY IH NG
 LYON	L AY AH N
 LYSANDER	L AY S AE N D ER
 M	EH M
 MACHINE	M AH SH IY N
 MACHINERY	M AH SH IY N ER IY
 MACHINES	M AH SH IY N Z
 MACKEREL	M AE K ER AH L
 MAD	M AE D
 MADAM	M AE D AH M
 MADDENING	M AE D AH N IH NG
 MADE	M EY D
 MADLY	M AE D L IY
 MADNESS	M AE D N AH S
 MÉTIER	M EH T AY AH R
 MAGGIE	M AE G IY
 MAGICIAN	M AH JH IH SH AH N
 MAGISTRATE	M AE JH AH S T R EY T
 MAGISTRATES	M AE JH IH S T R EY T S
 MAGNIFICENT	M AE G N IH F AH S AH N T
 MAGNIFIED	M AE G N AH F AY D
 MAGNIFYING	M AE G N AH F AY IH NG
 MAGNITUDE	M AE G N AH T UW D
 MAHOGANY	M AH HH AA G AH N IY
 MAID	M EY D
 MAIDEN	M EY D AH N
 MAIDS	M EY D Z
 MAIL	M EY L
 MAIN	M EY N
 MAINS	M EY N Z
 MAJOR	M EY JH ER
 MAJORITY	M AH JH AO R AH T IY
 MAKE	M EY K
 MAKES	M EY K S
 MAKING	M EY K IH NG
 MALAY	M EY L EY
 MALDEN	M AO L D AH N
 MALE	M EY L
 MALL	M AO L
 MAN	M AE N
 MANAGE	M AE N AH JH
 MANAGED	M AE N AH JH D
 MANAGEMENT	M AE N AH JH M AH N T
 MANAGER	M AE N AH JH ER
 MANAGERESS	M AE N IH JH ER AH S
 MANAGING	M AE N AH JH IH NG
 MANGLED	M AE NG G AH L D
 MANIA	M EY N IY AH
 MANIFESTATIONS	M AE N AH F EH S T EY SH AH N Z
 MANIFESTED	M AE N AH F EH S T AH D
 MANIFOLD	M AE N AH F OW L D
 MANKIND	M AE N K AY N D
 MANNER	M AE N ER
 MANNERS	M AE N ER Z
 MANOR	M AE N ER
 MANSION	M AE N SH AH N
 MANSIONS	M AE N CH AH N Z
 MANTEL	M AE N T AH L
 MANUFACTURED	M AE N Y AH F AE K CH ER D
 MANUFACTURING	M AE N Y AH F AE K CH ER IH NG
 MANUSCRIPT	M AE N Y AH S K R IH P T
 MANY	M EH N IY
 MAP	M AE P
 MAPPED	M AE P T
 MAPS	M AE P S
 MARBANK	M AA R B AE NG K
 MARBLE	M AA R B AH L
 MARCH	M AA R CH
 MARCHED	M AA R CH T
 MARCHING	M AA R CH IH NG
 MARGIN	M AA R JH AH N
 MARGINS	M AA R JH AH N Z
 MARINES	M ER IY N Z
 MARK	M AA R K
 MARKED	M AA R K T
 MARKET	M AA R K AH T
 MARKHAM	M AA R K AH M
 MARKING	M AA R K IH NG
 MARKINGS	M AA R K IH NG Z
 MARKS	M AA R K S
 MARRIAGE	M EH R IH JH
 MARRIED	M EH R IY D
 MARRY	M EH R IY
 MARRYING	M EH R IY IH NG
 MARS	M AA R Z
 MARSEILLES	M AA R S AY L AH S
 MARSHALL	M AA R SH AH L
 MARSHY	M AA R SH IY
 MARTIAN	M AA R SH AH N
 MARTIANS	M AA R SH AH N Z
 MARTYRDOM	M AA R T ER D AH M
 MARVIN	M AA R V IH N
 MARY	M EH R IY
 MARYLEBONE	M ER L AH B OW N
 MASCULINE	M AE S K Y AH L AH N
 MASKED	M AE S K T
 MASONRY	M EY S AH N R IY
 MASS	M AE S
 MASSACRE	M AE S AH K ER
 MASSACRED	M AE S AH K ER D
 MASSE	M AE S
 MASSES	M AE S AH Z
 MASSIVE	M AE S IH V
 MASTER	M AE S T ER
 MASTERY	M AE S T ER IY
 MASTIFF	M AE S T AH F
 MAT	M AE T
 MATCH	M AE CH
 MATCHBOX	M AE CH B AA K S
 MATCHES	M AE CH AH Z
 MATERIAL	M AH T IH R IY AH L
 MATES	M EY T S
 MATHEMATICAL	M AE TH AH M AE T IH K AH L
 MATHESON	M AE TH AH S AH N
 MATTER	M AE T ER
 MATTERS	M AE T ER Z
 MATURE	M AH CH UH R
 MAUDSLEY	M AO D S L IY
 MAURITIUS	M AO R IH T IY AH S
 MAXIM	M AE K S AH M
 MAXIMS	M AE K S AH M Z
 MAY	M EY
 MAYBE	M EY B IY
 MAYBURY	M EY B EH R IY
 MCCARTHY	M AH K AA R TH IY
 MCCARTHYS	M K AA R TH AH Z
 MCCAULEY	M AH K AO L IY
 ME	M IY
 MEADOW	M EH D OW
 MEADOWS	M EH D OW Z
 MEAL	M IY L
 MEAN	M IY N
 MEANING	M IY N IH NG
 MEANINGLESS	M IY N IH NG L AH S
 MEANLY	M IY N L IY
 MEANS	M IY N Z
 MEANT	M EH N T
 MEANWHILE	M IY N W AY L
 MEASURE	M EH ZH ER
 MEASURED	M EH ZH ER D
 MEASURES	M EH ZH ER Z
 MEAT	M IY T
 MECHANICAL	M AH K AE N IH K AH L
 MECHANICALLY	M AH K AE N IH K L IY
 MECHANISM	M EH K AH N IH Z AH M
 MECHANISMS	M EH K AH N IH Z AH M Z
 MEDDLE	M EH D AH L
 MEDDLER	M EH D AH L ER
 MEDICAL	M EH D AH K AH L
 MEDITATION	M EH D AH T EY SH AH N
 MEDITATIVE	M EH D AH T EY T IH V
 MEET	M IY T
 MEETING	M IY T IH NG
 MEETINGS	M IY T IH NG Z
 MEETS	M IY T S
 MELBOURNE	M EH L B ER N
 MELODY	M EH L AH D IY
 MELON	M EH L AH N
 MELT	M EH L T
 MELTS	M EH L T S
 MEMBER	M EH M B ER
 MEMBRA	M EH M B R AH
 MEMOIR	M EH M W AA R
 MEMORANDA	M EH M ER AE N D AH
 MEMORY	M EH M ER IY
 MEN	M EH N
 MENAGERIE	M AH N AE JH ER IY
 MENDICANT	M EH N D IH K AH N T
 MENDICANTS	M EH N D IH K AH N T S
 MENTAL	M EH N T AH L
 MENTION	M EH N SH AH N
 MENTIONED	M EH N SH AH N D
 MERCHANT	M ER CH AH N T
 MERCIFULLY	M ER S IH F AH L IY
 MERCY	M ER S IY
 MERE	M IH R
 MEREDITH	M EH R IH D IH TH
 MERELY	M IH R L IY
 MEREST	M EH R AH S T
 MERIT	M EH R AH T
 MERROW	M EH R OW
 MERRY	M EH R IY
 MERRYWEATHER	M EH R IY W EH DH ER
 MESHES	M EH SH IH Z
 MESSAGE	M EH S AH JH
 MESSENGER	M EH S AH N JH ER
 MET	M EH T
 METAL	M EH T AH L
 METALLIC	M AH T AE L IH K
 METEOR	M IY T IY ER
 METEORITE	M IY T IY AO R AY T
 METEORITES	M IY T IY AH R AY T S
 METHOD	M EH TH AH D
 METHODICALLY	M AH TH AA D IH K AH L IY
 METHODS	M EH TH AH D Z
 METROPOLIS	M AH T R AA P AH L AH S
 METROPOLITAN	M EH T R AH P AA L AH T AH N
 METTLE	M EH T AH L
 MEXICO	M EH K S AH K OW
 MICE	M AY S
 MICROSCOPE	M AY K R AH S K OW P
 MID	M IH D
 MIDDAY	M IH D D EY
 MIDDLE	M IH D AH L
 MIDDLESEX	M IH D AH L S EH K S
 MIDNIGHT	M IH D N AY T
 MIDST	M IH D S T
 MIDSUMMER	M IH D S AH M ER
 MIDWAY	M IH D W EY
 MIGHT	M AY T
 MIGHTIER	M AY T IY ER
 MIGHTIEST	M AY T IY AH S T
 MIGHTY	M AY T IY
 MILE	M AY L
 MILES	M AY L Z
 MILITARY	M IH L AH T EH R IY
 MILK	M IH L K
 MILKING	M IH L K IH NG
 MILKMAN	M IH L K M AE N
 MILKY	M IH L K IY
 MILLAR	M IH L ER
 MILLION	M IH L Y AH N
 MILLIONAIRE	M IH L Y AH N EH R
 MILLIONS	M IH L Y AH N Z
 MILLS	M IH L Z
 MIND	M AY N D
 MINDED	M AY N D AH D
 MINDS	M AY N D Z
 MINE	M AY N
 MINERS	M AY N ER Z
 MINES	M AY N Z
 MINGLE	M IH NG G AH L
 MINGLED	M IH NG G AH L D
 MINGLING	M IH NG G AH L IH NG
 MINIATURE	M IH N IY AH CH UH R
 MINING	M AY N IH NG
 MINISTER	M IH N AH S T ER
 MINISTERS	M IH N AH S T ER Z
 MINOR	M AY N ER
 MINUTE	M IH N AH T
 MINUTELY	M IH N AH T L IY
 MINUTES	M IH N AH T S
 MIRACLE	M IH R AH K AH L
 MIRROR	M IH R ER
 MISADVENTURE	M IH S AH D V EH N CH ER
 MISCELLANY	M IH S AH L EY N IY
 MISCHANCE	M IH S CH AE N S
 MISCHIEF	M IH S CH AH F
 MISERABLE	M IH Z ER AH B AH L
 MISFORTUNE	M IH S F AO R CH AH N
 MISGIVINGS	M IH S G IH V IH NG Z
 MISJUDGED	M IH S JH AH JH D
 MISS	M IH S
 MISSED	M IH S T
 MISSES	M IH S IH Z
 MISSILE	M IH S AH L
 MISSILES	M IH S AH L Z
 MISSING	M IH S IH NG
 MISSION	M IH SH AH N
 MISSIONARY	M IH SH AH N EH R IY
 MIST	M IH S T
 MISTAKE	M IH S T EY K
 MISTAKEN	M IH S T EY K AH N
 MISTAKING	M IH S T EY K IH NG
 MISTER	M IH S T ER
 MISTRESS	M IH S T R AH S
 MISTY	M IH S T IY
 MIXED	M IH K S T
 MIXTURE	M IH K S CH ER
 MODELS	M AA D AH L Z
 MODERATE	M AA D ER AH T
 MODERN	M AA D ER N
 MODEST	M AA D AH S T
 MODIFYING	M AA D AH F AY IH NG
 MOIST	M OY S T
 MOISTENED	M OY S AH N D
 MOISTURE	M OY S CH ER
 MOLE	M OW L
 MOLESEY	M OW L Z IY
 MOLTEN	M OW L T AH N
 MOMENT	M OW M AH N T
 MOMENTARILY	M OW M AH N T EH R AH L IY
 MOMENTARY	M OW M AH N T EH R IY
 MOMENTS	M OW M AH N T S
 MONARCH	M AA N AA R K
 MONDAY	M AH N D IY
 MONEY	M AH N IY
 MONGER	M AH NG G ER
 MONKEYS	M AH NG K IY Z
 MONOGRAM	M AA N AH G R AE M
 MONOGRAPH	M AA N AH G R AE F
 MONOMANIAC	M AA N OW M EY N IY AE K
 MONOPOLY	M AH N AA P AH L IY
 MONOSYLLABLE	M AA N OW S IH L AH B AH L
 MONOSYLLABLES	M AA N OW S IH L AH B AH L Z
 MONOTONOUS	M AH N AA T AH N AH S
 MONOTONY	M AH N AA T AH N IY
 MONSTER	M AA N S T ER
 MONSTERS	M AA N S T ER Z
 MONSTROUS	M AA N S T R AH S
 MONTAGUE	M AA N T AH G Y UW
 MONTANA	M AA N T AE N AH
 MONTH	M AH N TH
 MONTHS	M AH N TH S
 MOOD	M UW D
 MOODILY	M UW D IY L IY
 MOODS	M UW D Z
 MOON	M UW N
 MOONLESS	M UW N L AH S
 MOONLIGHT	M UW N L AY T
 MOONSHINE	M UW N SH AY N
 MORAL	M AO R AH L
 MORAN	M AO R AE N
 MORCAR	M AO R K AH R
 MORE	M AO R
 MOREOVER	M AO R OW V ER
 MORNING	M AO R N IH NG
 MOROCCO	M ER AA K OW
 MOROSE	M ER OW S
 MORROW	M AA R OW
 MORTAL	M AO R T AH L
 MORTAR	M AO R T ER
 MORTGAGE	M AO R G AH JH
 MOSCOW	M AA S K OW
 MOSQUE	M AA S K
 MOSS	M AO S
 MOST	M OW S T
 MOSTLY	M OW S T L IY
 MOTHER	M AH DH ER
 MOTION	M OW SH AH N
 MOTIONLESS	M OW SH AH N L AH S
 MOTIVE	M OW T IH V
 MOTIVES	M OW T IH V Z
 MOTOR	M OW T ER
 MOTTLED	M AA T AH L D
 MOULD	M OW L D
 MOULTON	M OW L T AH N
 MOUND	M AW N D
 MOUNTAINS	M AW N T AH N Z
 MOUNTED	M AW N T AH D
 MOUSSELINE	M AW S AH L AY N
 MOUTH	M AW TH
 MOUTHED	M AW DH D
 MOVE	M UW V
 MOVED	M UW V D
 MOVEMENT	M UW V M AH N T
 MOVEMENTS	M UW V M AH N T S
 MOVES	M UW V Z
 MOVIN	M AA V AH N
 MOVING	M UW V IH NG
 MR	M IH S T ER
 MRS	M IH S IH Z
 MUCH	M AH CH
 MUD	M AH D
 MUDDY	M AH D IY
 MUFF	M AH F
 MUFFLED	M AH F AH L D
 MULTIPLY	M AH L T AH P L AY
 MULTITUDE	M AH L T AH T UW D
 MULTITUDES	M AH L T AH T Y UW D Z
 MUMBLE	M AH M B AH L
 MUMBLED	M AH M B AH L D
 MUMBLING	M AH M B AH L IH NG
 MUNICH	M Y UW N IH K
 MUNIFICENT	M Y UW N AH F IH S AH N T
 MUNRO	M AH N R OW
 MURDER	M ER D ER
 MURDERED	M ER D ER D
 MURDERER	M ER D ER ER
 MURDERERS	M ER D ER ER Z
 MURDERING	M ER D ER IH NG
 MURDEROUS	M ER D ER AH S
 MURDERS	M ER D ER Z
 MURKY	M ER K IY
 MURMUR	M ER M ER
 MURMURED	M ER M ER D
 MUSCLES	M AH S AH L Z
 MUSCULAR	M AH S K Y AH L ER
 MUSEUM	M Y UW Z IY AH M
 MUSIC	M Y UW Z IH K
 MUST	M AH S T
 MUSTACHE	M AH S T AE SH
 MUSTARD	M AH S T ER D
 MUSTER	M AH S T ER
 MUSTERING	M AH S T ER IH NG
 MUTINIED	M Y UW T AH N IY D
 MUTTERED	M AH T ER D
 MUTTERING	M AH T ER IH NG
 MUTTON	M AH T AH N
 MUZZLE	M AH Z AH L
 MY	M AY
 MYSELF	M AY S EH L F
 MYSTERIES	M IH S T ER IY Z
 MYSTERIOUS	M IH S T IH R IY AH S
 MYSTERY	M IH S T ER IY
 MYTH	M IH TH
 NAIL	N EY L
 NAILS	N EY L Z
 NAKED	N EY K AH D
 NAME	N EY M
 NAMED	N EY M D
 NAMES	N EY M Z
 NAPOLEONS	N AH P OW L Y AH N Z
 NARRATED	N EH R EY T IH D
 NARRATIVE	N AE R AH T IH V
 NARRATIVES	N AE R AH T IH V Z
 NARROW	N EH R OW
 NARROWED	N EH R OW D
 NARROWER	N EH R OW ER
 NARROWLY	N EH R OW L IY
 NASTY	N AE S T IY
 NATION	N EY SH AH N
 NATIONAL	N AE SH AH N AH L
 NATIVE	N EY T IH V
 NATURAL	N AE CH ER AH L
 NATURALLY	N AE CH ER AH L IY
 NATURE	N EY CH ER
 NATURED	N EY CH ER D
 NAUTICAL	N AO T AH K AH L
 NAVAL	N EY V AH L
 NAVY	N EY V IY
 NAY	N EY
 NEAR	N IH R
 NEARER	N IH R ER
 NEAREST	N IH R AH S T
 NEARING	N IH R IH NG
 NEARLY	N IH R L IY
 NEAT	N IY T
 NEATLY	N IY T L IY
 NEATNESS	N IY T N AH S
 NEBULAR	N EH B Y AH L ER
 NECESSARILY	N EH S AH S EH R AH L IY
 NECESSARY	N EH S AH S EH R IY
 NECESSITY	N AH S EH S AH T IY
 NECK	N EH K
 NECKS	N EH K S
 NECKTIE	N EH K T AY
 NED	N EH D
 NEED	N IY D
 NEEDED	N IY D AH D
 NEEDLE	N IY D AH L
 NEEDLES	N IY D AH L Z
 NEEDS	N IY D Z
 NEGLECTED	N AH G L EH K T AH D
 NEGLIGIBLE	N EH G L AH JH AH B AH L
 NEGRO	N IY G R OW
 NEGROES	N IY G R OW Z
 NEIGHBOR	N EY B ER
 NEIGHBORHOOD	N EY B ER HH UH D
 NEIGHBORING	N EY B ER IH NG
 NEIGHBORS	N EY B ER Z
 NEIGHBOUR	N EY B ER
 NEIGHBOURING	N EY B ER IH NG
 NEITHER	N IY DH ER
 NERVE	N ER V
 NERVES	N ER V Z
 NERVOUS	N ER V AH S
 NERVOUSLY	N ER V AH S L IY
 NEST	N EH S T
 NET	N EH T
 NETTLES	N EH T AH L Z
 NETWORK	N EH T W ER K
 NEUTRAL	N UW T R AH L
 NEVER	N EH V ER
 NEVILLE	N EH V IH L
 NEW	N UW
 NEWCOMERS	N UW K AH M ER Z
 NEWER	N UW ER
 NEWHAVEN	N UW HH EY V AH N
 NEWLY	N UW L IY
 NEWS	N UW Z
 NEWSPAPER	N UW Z P EY P ER
 NEWSPAPERS	N UW Z P EY P ER Z
 NEWSVENDOR	N UW Z V EH N D ER
 NEWSVENDORS	N UW Z V EH N D ER Z
 NEXT	N EH K S T
 NEZ	N EH Z
 NICE	N AY S
 NICELY	N AY S L IY
 NICKEL	N IH K AH L
 NIECE	N IY S
 NIGH	N AY
 NIGHT	N AY T
 NIGHTFALL	N AY T F AO L
 NIGHTS	N AY T S
 NINE	N AY N
 NINETEEN	N AY N T IY N
 NINETEENTH	N AY N T IY N TH
 NINETY	N AY N T IY
 NIP	N IH P
 NIPPER	N IH P ER
 NO	N OW
 NOBLE	N OW B AH L
 NOBLEMAN	N OW B AH L M AH N
 NOBLEST	N OW B L IH S T
 NOBODY	N OW B AA D IY
 NOCTURNAL	N AA K T ER N AH L
 NODDED	N AA D AH D
 NODDING	N AA D IH NG
 NOISE	N OY Z
 NOISED	N OY Z D
 NOISELESS	N OY Z L AH S
 NOISELESSLY	N OY Z L AH S L IY
 NOISES	N OY Z IH Z
 NOISILY	N OY Z AH L IY
 NOISY	N OY Z IY
 NOMADIC	N OW M AE D IH K
 NON	N AA N
 NONE	N AH N
 NONENTITY	N AA N EH N T AH T IY
 NONSENSE	N AA N S EH N S
 NOOSE	N UW S
 NOR	N AO R
 NORMAL	N AO R M AH L
 NORTH	N AO R TH
 NORTHUMBERLAND	N AO R TH AH M B ER L AE N D
 NORTHWARD	N AO R TH W ER D
 NORTHWEST	N AO R TH W EH S T
 NOSE	N OW Z
 NOSEBAGS	N OW Z B AE G Z
 NOSED	N OW Z D
 NOSTRILS	N AA S T R AH L Z
 NOT	N AA T
 NOTABLE	N OW T AH B AH L
 NOTABLY	N OW T AH B L IY
 NOTE	N OW T
 NOTED	N OW T AH D
 NOTES	N OW T S
 NOTHING	N AH TH IH NG
 NOTHINGNESS	N AH TH IH NG N AH S
 NOTICE	N OW T AH S
 NOTICED	N OW T IH S T
 NOTICES	N OW T IH S IH Z
 NOTICING	N OW T IH S IH NG
 NOTING	N OW T IH NG
 NOTION	N OW SH AH N
 NOTORIOUS	N OW T AO R IY AH S
 NOTWITHSTANDING	N AA T W IH TH S T AE N D IH NG
 NOUS	N UW S
 NOVA	N OW V AH
 NOVEL	N AA V AH L
 NOVELTY	N AA V AH L T IY
 NOW	N AW
 NUCLEUS	N UW K L IY AH S
 NUMBER	N AH M B ER
 NUMBERS	N AH M B ER Z
 NUMEROUS	N UW M ER AH S
 NURSERY	N ER S ER IY
 NURTURED	N ER CH ER D
 NUT	N AH T
 NUTSHELL	N AH T SH EH L
 O	OW
 OAK	OW K
 OAKSHOTT	OW K AH T
 OARS	AO R Z
 OATH	OW TH
 OATHS	OW DH Z
 OBEDIENCE	OW B IY D IY AH N S
 OBEY	OW B EY
 OBEYED	OW B EY D
 OBJECT	AA B JH EH K T
 OBJECTION	AH B JH EH K SH AH N
 OBJECTIONS	AH B JH EH K SH AH N Z
 OBJECTS	AA B JH EH K T S
 OBLIGATIONS	AA B L AH G EY SH AH N Z
 OBLIGED	AH B L AY JH D
 OBLIQUELY	AH B L IY K L IY
 OBLIVIOUS	AH B L IH V IY AH S
 OBLONG	AA B L AO NG
 OBSCURED	AH B S K Y UH R D
 OBSCURITY	AH B S K Y UH R AH T IY
 OBSERVANCE	AH B Z ER V AH N S
 OBSERVANT	AH B Z ER V AH N T
 OBSERVATION	AA B Z ER V EY SH AH N
 OBSERVATORY	AH B Z ER V AH T AO R IY
 OBSERVE	AH B Z ER V
 OBSERVED	AH B Z ER V D
 OBSERVER	AH B Z ER V ER
 OBSERVERS	AH B Z ER V ER Z
 OBSERVING	AH B Z ER V IH NG
 OBSTACLE	AA B S T AH K AH L
 OBSTINATE	AA B S T AH N AH T
 OBSTRUCTIVE	AH B S T R AH K T IH V
 OBTAINED	AH B T EY N D
 OBTAINING	AH B T EY N IH NG
 OBTRUDED	AH B T R UW D IH D
 OBVIOUS	AA B V IY AH S
 OBVIOUSLY	AA B V IY AH S L IY
 OCCASION	AH K EY ZH AH N
 OCCASIONAL	AO K EY ZH AH N AH L
 OCCASIONALLY	AO K EY ZH AH N AH L IY
 OCCIPITAL	AA K S IH P AH T AH L
 OCCUPANT	AA K Y AH P AH N T
 OCCUPATION	AA K Y AH P EY SH AH N
 OCCUPIED	AA K Y AH P AY D
 OCCUPY	AA K Y AH P AY
 OCCUR	AH K ER
 OCCURRED	AH K ER D
 OCCURRENCE	AH K ER AH N S
 OCCURRENCES	AH K ER AH N S IH Z
 OCEANS	OW SH AH N Z
 OCKHAM	AA K AH M
 OCT	AO K T
 OCTAVO	AA K T AH V OW
 OCTOPUS	AA K T AH P UH S
 OCTOPUSES	AA K T AH P AH S IH Z
 ODD	AA D
 ODDLY	AA D L IY
 ODOR	OW D ER
 OF	AH V
 OFF	AO F
 OFFENCE	AH F EH N S
 OFFENDED	AH F EH N D AH D
 OFFENSIVE	AH F EH N S IH V
 OFFER	AO F ER
 OFFERED	AO F ER D
 OFFERING	AO F ER IH NG
 OFFERS	AO F ER Z
 OFFICE	AO F AH S
 OFFICERS	AO F AH S ER Z
 OFFICES	AO F AH S AH Z
 OFFICIAL	AH F IH SH AH L
 OFFICIALS	AH F IH SH AH L Z
 OFFICIATED	AH F IH SH IY EY T AH D
 OFTEN	AO F T AH N
 OGILVY	OW G AH L V IY
 OH	OW
 OIL	OY L
 OILY	OY L IY
 OLD	OW L D
 OLDER	OW L D ER
 OLDEST	OW L D AH S T
 OME	OW M
 OMINOUS	AA M AH N AH S
 OMNIBUS	AA M N AH B AH S
 OMNIBUSES	AA M N AH B AH S AH Z
 ON	AA N
 ONCE	W AH N S
 ONE	W AH N
 ONES	W AH N Z
 ONLOOKERS	AO N L UH K ER Z
 ONLY	OW N L IY
 ONSLAUGHT	AO N S L AO T
 ONTO	AA N T UW
 OPAL	OW P AH L
 OPAQUE	OW P EY K
 OPEN	OW P AH N
 OPENED	OW P AH N D
 OPENING	OW P AH N IH NG
 OPENINGS	OW P AH N IH NG Z
 OPENLY	OW P AH N L IY
 OPENNESS	OW P AH N N AH S
 OPENS	OW P AH N Z
 OPENSHAW	OW P AH N SH AO
 OPERATION	AA P ER EY SH AH N
 OPERATIONS	AA P ER EY SH AH N Z
 OPINION	AH P IH N Y AH N
 OPIUM	OW P IY AH M
 OPPONENT	AH P OW N AH N T
 OPPORTUNITY	AA P ER T UW N AH T IY
 OPPOSED	AH P OW Z D
 OPPOSING	AH P OW Z IH NG
 OPPOSITE	AA P AH Z IH T
 OPPOSITION	AA P AH Z IH SH AH N
 OPPOSITIONS	AA P AH Z IH SH AH N Z
 OPPRESSED	AH P R EH S T
 OPPRESSIVE	AH P R EH S IH V
 OPTIMISTIC	AA P T AH M IH S T IH K
 OR	AO R
 ORANGE	AO R AH N JH
 ORCHIDS	AO R K AH D Z
 ORDER	AO R D ER
 ORDERED	AO R D ER D
 ORDERING	AO R D ER IH NG
 ORDERLY	AO R D ER L IY
 ORDERS	AO R D ER Z
 ORDINARY	AO R D AH N EH R IY
 ORDNANCE	AO R D N AH N S
 ORGANIC	AO R G AE N IH K
 ORGANISATION	AO R G AH N IH Z EY SH AH N
 ORGANISATIONS	AO R G AH N IH Z EY SH AH N Z
 ORGANISED	AO R G AH N IY Z D
 ORGANISM	AO R G AH N IH Z AH M
 ORGANIZATION	AO R G AH N AH Z EY SH AH N
 ORGANIZED	AO R G AH N AY Z D
 ORGIES	AO R JH IY Z
 ORIENTAL	AO R IY EH N T AH L
 ORIGIN	AO R AH JH AH N
 ORIGINAL	ER IH JH AH N AH L
 ORIGINALITY	ER IH JH AH N AE L IH T IY
 ORNAMENTS	AO R N AH M AH N T S
 ORPHAN	AO R F AH N
 ORPHANAGE	AO R F AH N AH JH
 OSCILLATED	AA S AH L EY T AH D
 OSCILLATES	AA S AH L EY T S
 OSCILLATION	AA S AH L EY SH AH N
 OSTENSIBLY	AA S T EH N S AH B L IY
 OSTRICH	AO S T R IH CH
 OTHER	AH DH ER
 OTHERS	AH DH ER Z
 OTHERWISE	AH DH ER W AY Z
 OTTERSHAW	AA T ER SH AO
 OUGHT	AO T
 OUNCE	AW N S
 OUR	AW ER
 OURS	AW ER Z
 OURSELVES	AW ER S EH L V Z
 OUT	AW T
 OUTBREAK	AW T B R EY K
 OUTBREAKS	AW T B R EY K S
 OUTBURSTS	AW T B ER S T S
 OUTCRY	AW T K R AY
 OUTER	AW T ER
 OUTFLOW	AW T F L OW
 OUTHOUSES	AW T HH AW S IH Z
 OUTLINE	AW T L AY N
 OUTLINED	AW T L AY N D
 OUTRÉ	AW T R EH
 OUTRAGES	AW T R EY JH IH Z
 OUTSET	AW T S EH T
 OUTSIDE	AW T S AY D
 OUTSIDES	AW T S AY D Z
 OUTSKIRTS	AW T S K ER T S
